experiment_id,experiment_version,experiment_config_sha256,phase,seed,prediction_random_seed,draw_date,scorer_name,window,decay,hot_window,cold_window,hot_weight,number_score_weight,structure_score_weight,target_front_pool_size,core_number_count,target_issue,data_cutoff_issue,strategy_name,random_seed,best_front_hits,best_back_hits,best_total_hits,at_least_three_front,at_least_2_plus_1,ticket_hit_share,unique_hit_concentration,any_prize,front_pool_coverage,back_pool_coverage,total_cost,total_prize,roi,prize_rule_version,prize_data_available,random_baseline_seed_count,random_metric_percentiles,risk_disclaimer,portfolio_strategy,candidate_generation_method
B0,v0.5-b0-v1,711c293260afc6b06c5e577021a1cd78045d80cf2f9928d491358d57e970edc7,development,20260000,20271000,2008-02-18,uniform_score,,,,,,1.0,0.0,18,2,08018,08017,random_baseline,20271000,2,1,2,False,False,0.4,0.6666666666666666,,2,1,10,,,,False,1000,"{'best_front_hits': 71.0, 'best_back_hits': 53.25, 'best_total_hits': 45.85, 'at_least_three_front': 46.6, 'at_least_2_plus_1': 39.95, 'front_pool_coverage': 27.7, 'back_pool_coverage': 40.0, 'unique_hit_concentration': 74.65}",评分不等于真实中奖概率，彩票开奖结果是随机事件。,uniform_random,direct_uniform
B0,v0.5-b0-v1,711c293260afc6b06c5e577021a1cd78045d80cf2f9928d491358d57e970edc7,development,20260000,20271100,2008-02-20,uniform_score,,,,,,1.0,0.0,18,2,08019,08018,random_baseline,20271100,1,1,2,False,False,0.5,0.6666666666666666,,2,1,10,,,,False,1000,"{'best_front_hits': 25.45, 'best_back_hits': 53.25, 'best_total_hits': 45.85, 'at_least_three_front': 46.6, 'at_least_2_plus_1': 39.95, 'front_pool_coverage': 27.7, 'back_pool_coverage': 40.0, 'unique_hit_concentration': 74.65}",评分不等于真实中奖概率，彩票开奖结果是随机事件。,uniform_random,direct_uniform
B0,v0.5-b0-v1,711c293260afc6b06c5e577021a1cd78045d80cf2f9928d491358d57e970edc7,development,20260000,20271200,2008-02-23,uniform_score,,,,,,1.0,0.0,18,2,08020,08019,random_baseline,20271200,1,1,2,False,False,0.6666666666666666,1.0,,1,1,10,,,,False,1000,"{'best_front_hits': 25.45, 'best_back_hits': 53.25, 'best_total_hits': 45.85, 'at_least_three_front': 46.6, 'at_least_2_plus_1': 39.95, 'front_pool_coverage': 7.05, 'back_pool_coverage': 40.0, 'unique_hit_concentration': 95.5}",评分不等于真实中奖概率，彩票开奖结果是随机事件。,uniform_random,direct_uniform
B0,v0.5-b0-v1,711c293260afc6b06c5e577021a1cd78045d80cf2f9928d491358d57e970edc7,development,20260000,20271300,2008-02-25,uniform_score,,,,,,1.0,0.0,18,2,08021,08020,random_baseline,20271300,2,1,3,False,True,0.375,0.5,,4,2,10,,,,False,1000,"{'best_front_hits': 71.0, 'best_back_hits': 53.25, 'best_total_hits': 85.25, 'at_least_three_front': 46.6, 'at_least_2_plus_1': 89.95, 'front_pool_coverage': 87.15, 'back_pool_coverage': 83.1, 'unique_hit_concentration': 40.4}",评分不等于真实中奖概率，彩票开奖结果是随机事件。,uniform_random,direct_uniform
B0,v0.5-b0-v1,711c293260afc6b06c5e577021a1cd78045d80cf2f9928d491358d57e970edc7,development,20260000,20271400,2008-02-27,uniform_score,,,,,,1.0,0.0,18,2,08022,08021,random_baseline,20271400,2,1,2,False,False,0.5,0.6666666666666666,,2,1,10,,,,False,1000,"{'best_front_hits': 71.0, 'best_back_hits': 53.25, 'best_total_hits': 45.85, 'at_least_three_front': 46.6, 'at_least_2_plus_1': 39.95, 'front_pool_coverage': 27.7, 'back_pool_coverage': 40.0, 'unique_hit_concentration': 74.65}",评分不等于真实中奖概率，彩票开奖结果是随机事件。,uniform_random,direct_uniform
B0,v0.5-b0-v1,711c293260afc6b06c5e577021a1cd78045d80cf2f9928d491358d57e970edc7,development,20260000,20271500,2008-03-01,uniform_score,,,,,,1.0,0.0,18,2,08023,08022,random_baseline,20271500,1,1,1,False,False,0.25,0.25,,3,1,10,,,,False,1000,"{'best_front_hits': 25.45, 'best_back_hits': 53.25, 'best_total_hits': 9.45, 'at_least_three_front': 46.6, 'at_least_2_plus_1': 39.95, 'front_pool_coverage': 60.7, 'back_pool_coverage': 40.0, 'unique_hit_concentration': 1.95}",评分不等于真实中奖概率，彩票开奖结果是随机事件。,uniform_random,direct_uniform
B0,v0.5-b0-v1,711c293260afc6b06c5e577021a1cd78045d80cf2f9928d491358d57e970edc7,development,20260000,20271600,2008-03-03,uniform_score,,,,,,1.0,0.0,18,2,08024,08023,random_baseline,20271600,3,1,4,True,True,1.0,1.0,,3,1,10,,,,False,1000,"{'best_front_hits': 96.55, 'best_back_hits': 53.25, 'best_total_hits': 98.45, 'at_least_three_front': 96.6, 'at_least_2_plus_1': 89.95, 'front_pool_coverage': 60.7, 'back_pool_coverage': 40.0, 'unique_hit_concentration': 95.5}",评分不等于真实中奖概率，彩票开奖结果是随机事件。,uniform_random,direct_uniform
B0,v0.5-b0-v1,711c293260afc6b06c5e577021a1cd78045d80cf2f9928d491358d57e970edc7,development,20260000,20271700,2008-03-05,uniform_score,,,,,,1.0,0.0,18,2,08025,08024,random_baseline,20271700,1,1,2,False,False,0.4,0.5,,3,1,10,,,,False,1000,"{'best_front_hits': 25.45, 'best_back_hits': 53.25, 'best_total_hits': 45.85, 'at_least_three_front': 46.6, 'at_least_2_plus_1': 39.95, 'front_pool_coverage': 60.7, 'back_pool_coverage': 40.0, 'unique_hit_concentration': 40.4}",评分不等于真实中奖概率，彩票开奖结果是随机事件。,uniform_random,direct_uniform
B0,v0.5-b0-v1,711c293260afc6b06c5e577021a1cd78045d80cf2f9928d491358d57e970edc7,development,20260000,20271800,2008-03-08,uniform_score,,,,,,1.0,0.0,18,2,08026,08025,random_baseline,20271800,1,1,2,False,False,0.5,0.5,,3,1,10,,,,False,1000,"{'best_front_hits': 25.45, 'best_back_hits': 53.25, 'best_total_hits': 45.85, 'at_least_three_front': 46.6, 'at_least_2_plus_1': 39.95, 'front_pool_coverage': 60.7, 'back_pool_coverage': 40.0, 'unique_hit_concentration': 40.4}",评分不等于真实中奖概率，彩票开奖结果是随机事件。,uniform_random,direct_uniform
B0,v0.5-b0-v1,711c293260afc6b06c5e577021a1cd78045d80cf2f9928d491358d57e970edc7,development,20260000,20271900,2008-03-10,uniform_score,,,,,,1.0,0.0,18,2,08027,08026,random_baseline,20271900,2,1,3,False,True,0.75,1.0,,2,1,10,,,,False,1000,"{'best_front_hits': 71.0, 'best_back_hits': 53.25, 'best_total_hits': 85.25, 'at_least_three_front': 46.6, 'at_least_2_plus_1': 89.95, 'front_pool_coverage': 27.7, 'back_pool_coverage': 40.0, 'unique_hit_concentration': 95.5}",评分不等于真实中奖概率，彩票开奖结果是随机事件。,uniform_random,direct_uniform
B0,v0.5-b0-v1,711c293260afc6b06c5e577021a1cd78045d80cf2f9928d491358d57e970edc7,development,20260000,20272000,2008-03-12,uniform_score,,,,,,1.0,0.0,18,2,08028,08027,random_baseline,20272000,1,1,2,False,False,0.4,0.6666666666666666,,2,1,10,,,,False,1000,"{'best_front_hits': 25.45, 'best_back_hits': 53.25, 'best_total_hits': 45.85, 'at_least_three_front': 46.6, 'at_least_2_plus_1': 39.95, 'front_pool_coverage': 27.7, 'back_pool_coverage': 40.0, 'unique_hit_concentration': 74.65}",评分不等于真实中奖概率，彩票开奖结果是随机事件。,uniform_random,direct_uniform
B0,v0.5-b0-v1,711c293260afc6b06c5e577021a1cd78045d80cf2f9928d491358d57e970edc7,development,20260000,20272100,2008-03-15,uniform_score,,,,,,1.0,0.0,18,2,08029,08028,random_baseline,20272100,1,1,2,False,False,0.4,0.6666666666666666,,2,1,10,,,,False,1000,"{'best_front_hits': 25.45, 'best_back_hits': 53.25, 'best_total_hits': 45.85, 'at_least_three_front': 46.6, 'at_least_2_plus_1': 39.95, 'front_pool_coverage': 27.7, 'back_pool_coverage': 40.0, 'unique_hit_concentration': 74.65}",评分不等于真实中奖概率，彩票开奖结果是随机事件。,uniform_random,direct_uniform
B0,v0.5-b0-v1,711c293260afc6b06c5e577021a1cd78045d80cf2f9928d491358d57e970edc7,development,20260000,20272200,2008-03-17,uniform_score,,,,,,1.0,0.0,18,2,08030,08029,random_baseline,20272200,2,1,2,False,False,0.5,0.5,,3,1,10,,,,False,1000,"{'best_front_hits': 71.0, 'best_back_hits': 53.25, 'best_total_hits': 45.85, 'at_least_three_front': 46.6, 'at_least_2_plus_1': 39.95, 'front_pool_coverage': 60.7, 'back_pool_coverage': 40.0, 'unique_hit_concentration': 40.4}",评分不等于真实中奖概率，彩票开奖结果是随机事件。,uniform_random,direct_uniform
B0,v0.5-b0-v1,711c293260afc6b06c5e577021a1cd78045d80cf2f9928d491358d57e970edc7,development,20260000,20272300,2008-03-19,uniform_score,,,,,,1.0,0.0,18,2,08031,08030,random_baseline,20272300,2,1,2,False,False,0.2857142857142857,0.5,,3,1,10,,,,False,1000,"{'best_front_hits': 71.0, 'best_back_hits': 53.25, 'best_total_hits': 45.85, 'at_least_three_front': 46.6, 'at_least_2_plus_1': 39.95, 'front_pool_coverage': 60.7, 'back_pool_coverage': 40.0, 'unique_hit_concentration': 40.4}",评分不等于真实中奖概率，彩票开奖结果是随机事件。,uniform_random,direct_uniform
B0,v0.5-b0-v1,711c293260afc6b06c5e577021a1cd78045d80cf2f9928d491358d57e970edc7,development,20260000,20272400,2008-03-22,uniform_score,,,,,,1.0,0.0,18,2,08032,08031,random_baseline,20272400,2,1,2,False,False,0.6666666666666666,0.6666666666666666,,2,1,10,,,,False,1000,"{'best_front_hits': 71.0, 'best_back_hits': 53.25, 'best_total_hits': 45.85, 'at_least_three_front': 46.6, 'at_least_2_plus_1': 39.95, 'front_pool_coverage': 27.7, 'back_pool_coverage': 40.0, 'unique_hit_concentration': 74.65}",评分不等于真实中奖概率，彩票开奖结果是随机事件。,uniform_random,direct_uniform
B0,v0.5-b0-v1,711c293260afc6b06c5e577021a1cd78045d80cf2f9928d491358d57e970edc7,development,20260000,20272500,2008-03-24,uniform_score,,,,,,1.0,0.0,18,2,08033,08032,random_baseline,20272500,2,1,2,False,False,0.3333333333333333,0.5,,3,1,10,,,,False,1000,"{'best_front_hits': 71.0, 'best_back_hits': 53.25, 'best_total_hits': 45.85, 'at_least_three_front': 46.6, 'at_least_2_plus_1': 39.95, 'front_pool_coverage': 60.7, 'back_pool_coverage': 40.0, 'unique_hit_concentration': 40.4}",评分不等于真实中奖概率，彩票开奖结果是随机事件。,uniform_random,direct_uniform
B0,v0.5-b0-v1,711c293260afc6b06c5e577021a1cd78045d80cf2f9928d491358d57e970edc7,development,20260000,20272600,2008-03-26,uniform_score,,,,,,1.0,0.0,18,2,08034,08033,random_baseline,20272600,2,1,2,False,False,0.4,0.5,,3,1,10,,,,False,1000,"{'best_front_hits': 71.0, 'best_back_hits': 53.25, 'best_total_hits': 45.85, 'at_least_three_front': 46.6, 'at_least_2_plus_1': 39.95, 'front_pool_coverage': 60.7, 'back_pool_coverage': 40.0, 'unique_hit_concentration': 40.4}",评分不等于真实中奖概率，彩票开奖结果是随机事件。,uniform_random,direct_uniform
B0,v0.5-b0-v1,711c293260afc6b06c5e577021a1cd78045d80cf2f9928d491358d57e970edc7,development,20260000,20272700,2008-03-29,uniform_score,,,,,,1.0,0.0,18,2,08035,08034,random_baseline,20272700,2,0,2,False,False,0.4,0.5,,4,0,10,,,,False,1000,"{'best_front_hits': 71.0, 'best_back_hits': 6.9, 'best_total_hits': 45.85, 'at_least_three_front': 46.6, 'at_least_2_plus_1': 39.95, 'front_pool_coverage': 87.15, 'back_pool_coverage': 6.9, 'unique_hit_concentration': 40.4}",评分不等于真实中奖概率，彩票开奖结果是随机事件。,uniform_random,direct_uniform
B0,v0.5-b0-v1,711c293260afc6b06c5e577021a1cd78045d80cf2f9928d491358d57e970edc7,development,20260000,20272800,2008-03-31,uniform_score,,,,,,1.0,0.0,18,2,08036,08035,random_baseline,20272800,2,1,2,False,False,0.25,0.5,,3,1,10,,,,False,1000,"{'best_front_hits': 71.0, 'best_back_hits': 53.25, 'best_total_hits': 45.85, 'at_least_three_front': 46.6, 'at_least_2_plus_1': 39.95, 'front_pool_coverage': 60.7, 'back_pool_coverage': 40.0, 'unique_hit_concentration': 40.4}",评分不等于真实中奖概率，彩票开奖结果是随机事件。,uniform_random,direct_uniform
B0,v0.5-b0-v1,711c293260afc6b06c5e577021a1cd78045d80cf2f9928d491358d57e970edc7,development,20260000,20272900,2008-04-02,uniform_score,,,,,,1.0,0.0,18,2,08037,08036,random_baseline,20272900,1,1,2,False,False,0.5,0.6666666666666666,,2,1,10,,,,False,1000,"{'best_front_hits': 25.45, 'best_back_hits': 53.25, 'best_total_hits': 45.85, 'at_least_three_front': 46.6, 'at_least_2_plus_1': 39.95, 'front_pool_coverage': 27.7, 'back_pool_coverage': 40.0, 'unique_hit_concentration': 74.65}",评分不等于真实中奖概率，彩票开奖结果是随机事件。,uniform_random,direct_uniform
B0,v0.5-b0-v1,711c293260afc6b06c5e577021a1cd78045d80cf2f9928d491358d57e970edc7,development,20260000,20273000,2008-04-05,uniform_score,,,,,,1.0,0.0,18,2,08038,08037,random_baseline,20273000,3,1,3,True,False,0.375,0.6,,4,1,10,,,,False,1000,"{'best_front_hits': 96.55, 'best_back_hits': 53.25, 'best_total_hits': 85.25, 'at_least_three_front': 96.6, 'at_least_2_plus_1': 39.95, 'front_pool_coverage': 87.15, 'back_pool_coverage': 40.0, 'unique_hit_concentration': 61.1}",评分不等于真实中奖概率，彩票开奖结果是随机事件。,uniform_random,direct_uniform
B0,v0.5-b0-v1,711c293260afc6b06c5e577021a1cd78045d80cf2f9928d491358d57e970edc7,development,20260000,20273100,2008-04-07,uniform_score,,,,,,1.0,0.0,18,2,08039,08038,random_baseline,20273100,1,1,2,False,False,0.4,0.6666666666666666,,2,1,10,,,,False,1000,"{'best_front_hits': 25.45, 'best_back_hits': 53.25, 'best_total_hits': 45.85, 'at_least_three_front': 46.6, 'at_least_2_plus_1': 39.95, 'front_pool_coverage': 27.7, 'back_pool_coverage': 40.0, 'unique_hit_concentration': 74.65}",评分不等于真实中奖概率，彩票开奖结果是随机事件。,uniform_random,direct_uniform
B0,v0.5-b0-v1,711c293260afc6b06c5e577021a1cd78045d80cf2f9928d491358d57e970edc7,development,20260000,20273200,2008-04-09,uniform_score,,,,,,1.0,0.0,18,2,08040,08039,random_baseline,20273200,2,1,2,False,False,0.5,0.5,,3,1,10,,,,False,1000,"{'best_front_hits': 71.0, 'best_back_hits': 53.25, 'best_total_hits': 45.85, 'at_least_three_front': 46.6, 'at_least_2_plus_1': 39.95, 'front_pool_coverage': 60.7, 'back_pool_coverage': 40.0, 'unique_hit_concentration': 40.4}",评分不等于真实中奖概率，彩票开奖结果是随机事件。,uniform_random,direct_uniform
B0,v0.5-b0-v1,711c293260afc6b06c5e577021a1cd78045d80cf2f9928d491358d57e970edc7,development,20260000,20273300,2008-04-12,uniform_score,,,,,,1.0,0.0,18,2,08041,08040,random_baseline,20273300,2,1,2,False,False,0.3333333333333333,0.5,,3,1,10,,,,False,1000,"{'best_front_hits': 71.0, 'best_back_hits': 53.25, 'best_total_hits': 45.85, 'at_least_three_front': 46.6, 'at_least_2_plus_1': 39.95, 'front_pool_coverage': 60.7, 'back_pool_coverage': 40.0, 'unique_hit_concentration': 40.4}",评分不等于真实中奖概率，彩票开奖结果是随机事件。,uniform_random,direct_uniform
B0,v0.5-b0-v1,711c293260afc6b06c5e577021a1cd78045d80cf2f9928d491358d57e970edc7,development,20260000,20273400,2008-04-14,uniform_score,,,,,,1.0,0.0,18,2,08042,08041,random_baseline,20273400,2,1,3,False,True,0.375,0.4285714285714285,,5,2,10,,,,False,1000,"{'best_front_hits': 71.0, 'best_back_hits': 53.25, 'best_total_hits': 85.25, 'at_least_three_front': 46.6, 'at_least_2_plus_1': 89.95, 'front_pool_coverage': 98.15, 'back_pool_coverage': 83.1, 'unique_hit_concentration': 25.05}",评分不等于真实中奖概率，彩票开奖结果是随机事件。,uniform_random,direct_uniform
B0,v0.5-b0-v1,711c293260afc6b06c5e577021a1cd78045d80cf2f9928d491358d57e970edc7,development,20260000,20273500,2008-04-16,uniform_score,,,,,,1.0,0.0,18,2,08043,08042,random_baseline,20273500,2,1,2,False,False,0.3333333333333333,0.5,,3,1,10,,,,False,1000,"{'best_front_hits': 71.0, 'best_back_hits': 53.25, 'best_total_hits': 45.85, 'at_least_three_front': 46.6, 'at_least_2_plus_1': 39.95, 'front_pool_coverage': 60.7, 'back_pool_coverage': 40.0, 'unique_hit_concentration': 40.4}",评分不等于真实中奖概率，彩票开奖结果是随机事件。,uniform_random,direct_uniform
B0,v0.5-b0-v1,711c293260afc6b06c5e577021a1cd78045d80cf2f9928d491358d57e970edc7,development,20260000,20273600,2008-04-19,uniform_score,,,,,,1.0,0.0,18,2,08044,08043,random_baseline,20273600,2,1,2,False,False,0.4,0.5,,2,2,10,,,,False,1000,"{'best_front_hits': 71.0, 'best_back_hits': 53.25, 'best_total_hits': 45.85, 'at_least_three_front': 46.6, 'at_least_2_plus_1': 39.95, 'front_pool_coverage': 27.7, 'back_pool_coverage': 83.1, 'unique_hit_concentration': 40.4}",评分不等于真实中奖概率，彩票开奖结果是随机事件。,uniform_random,direct_uniform
B0,v0.5-b0-v1,711c293260afc6b06c5e577021a1cd78045d80cf2f9928d491358d57e970edc7,development,20260000,20273700,2008-04-21,uniform_score,,,,,,1.0,0.0,18,2,08045,08044,random_baseline,20273700,1,1,2,False,False,0.6666666666666666,0.6666666666666666,,2,1,10,,,,False,1000,"{'best_front_hits': 25.45, 'best_back_hits': 53.25, 'best_total_hits': 45.85, 'at_least_three_front': 46.6, 'at_least_2_plus_1': 39.95, 'front_pool_coverage': 27.7, 'back_pool_coverage': 40.0, 'unique_hit_concentration': 74.65}",评分不等于真实中奖概率，彩票开奖结果是随机事件。,uniform_random,direct_uniform
B0,v0.5-b0-v1,711c293260afc6b06c5e577021a1cd78045d80cf2f9928d491358d57e970edc7,development,20260000,20273800,2008-04-23,uniform_score,,,,,,1.0,0.0,18,2,08046,08045,random_baseline,20273800,1,0,1,False,False,0.25,0.3333333333333333,,3,0,10,,,,False,1000,"{'best_front_hits': 25.45, 'best_back_hits': 6.9, 'best_total_hits': 9.45, 'at_least_three_front': 46.6, 'at_least_2_plus_1': 39.95, 'front_pool_coverage': 60.7, 'back_pool_coverage': 6.9, 'unique_hit_concentration': 8.45}",评分不等于真实中奖概率，彩票开奖结果是随机事件。,uniform_random,direct_uniform
B0,v0.5-b0-v1,711c293260afc6b06c5e577021a1cd78045d80cf2f9928d491358d57e970edc7,development,20260000,20273900,2008-04-26,uniform_score,,,,,,1.0,0.0,18,2,08047,08046,random_baseline,20273900,1,1,1,False,False,0.25,0.5,,1,1,10,,,,False,1000,"{'best_front_hits': 25.45, 'best_back_hits': 53.25, 'best_total_hits': 9.45, 'at_least_three_front': 46.6, 'at_least_2_plus_1': 39.95, 'front_pool_coverage': 7.05, 'back_pool_coverage': 40.0, 'unique_hit_concentration': 40.4}",评分不等于真实中奖概率，彩票开奖结果是随机事件。,uniform_random,direct_uniform
B0,v0.5-b0-v1,711c293260afc6b06c5e577021a1cd78045d80cf2f9928d491358d57e970edc7,development,20260000,20274000,2008-04-28,uniform_score,,,,,,1.0,0.0,18,2,08048,08047,random_baseline,20274000,1,1,1,False,False,0.3333333333333333,0.5,,1,1,10,,,,False,1000,"{'best_front_hits': 25.45, 'best_back_hits': 53.25, 'best_total_hits': 9.45, 'at_least_three_front': 46.6, 'at_least_2_plus_1': 39.95, 'front_pool_coverage': 7.05, 'back_pool_coverage': 40.0, 'unique_hit_concentration': 40.4}",评分不等于真实中奖概率，彩票开奖结果是随机事件。,uniform_random,direct_uniform
B0,v0.5-b0-v1,711c293260afc6b06c5e577021a1cd78045d80cf2f9928d491358d57e970edc7,development,20260000,20274100,2008-04-30,uniform_score,,,,,,1.0,0.0,18,2,08049,08048,random_baseline,20274100,1,1,2,False,False,0.25,0.6666666666666666,,1,2,10,,,,False,1000,"{'best_front_hits': 25.45, 'best_back_hits': 53.25, 'best_total_hits': 45.85, 'at_least_three_front': 46.6, 'at_least_2_plus_1': 39.95, 'front_pool_coverage': 7.05, 'back_pool_coverage': 83.1, 'unique_hit_concentration': 74.65}",评分不等于真实中奖概率，彩票开奖结果是随机事件。,uniform_random,direct_uniform
B0,v0.5-b0-v1,711c293260afc6b06c5e577021a1cd78045d80cf2f9928d491358d57e970edc7,development,20260000,20274200,2008-05-03,uniform_score,,,,,,1.0,0.0,18,2,08050,08049,random_baseline,20274200,1,1,2,False,False,0.5,0.5,,3,1,10,,,,False,1000,"{'best_front_hits': 25.45, 'best_back_hits': 53.25, 'best_total_hits': 45.85, 'at_least_three_front': 46.6, 'at_least_2_plus_1': 39.95, 'front_pool_coverage': 60.7, 'back_pool_coverage': 40.0, 'unique_hit_concentration': 40.4}",评分不等于真实中奖概率，彩票开奖结果是随机事件。,uniform_random,direct_uniform
